market,funding_total_usd,status,country_code,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_fincing,private_equity
Entertainment,,operating,USA,2011,0,0,0,0,0,0,0
SocialNetworkMedia,187500,operating,USA,2011,0,187500,0,0,0,0,0
CuratedWeb,23598258,operating,USA,1994,0,23598258,0,0,0,0,0
LocalBusinesses,2070953,operating,GBR,2008,0,0,2070953,0,0,0,0
IntellectualAssetMagement,,acquired,USA,2006,0,0,0,0,0,0,0
Software,1999999,operating,USA,1994,0,1999999,0,0,0,0,0
Travel,150000,operating,KOR,2012,150000,0,0,0,0,0,0
Transportation,,operating,UGA,2008,0,0,0,0,0,0,0
Freelancers,200000,operating,IND,2012,200000,0,0,0,0,0,0
,501000,operating,USA,,0,0,0,0,0,501000,0
WebDevelopment,,acquired,USA,2012,0,0,0,0,0,0,0
K-12Education,40000,operating,USA,2012,20000,0,0,0,0,0,0
Mobile,,operating,IND,,0,0,0,0,0,0,0
OnlineShopping,,operating,,2011,0,0,0,0,0,0,0
Semiconductors,139143676,operating,USA,1999,0,107116000,0,0,8527676,0,23500000
CreditCards,25000,closed,USA,2012,25000,0,0,0,0,0,0
iPhone,4300000,operating,USA,,0,4300000,0,0,0,0,0
CleanTechnology,3883928,operating,CHN,,0,3883928,0,0,0,0,0
Hospitality,,operating,USA,2014,0,0,0,0,0,0,0
HealthandWellness,5000000,operating,USA,1988,5000000,0,0,0,0,0,0
Fashion,228372,operating,GBR,2012,0,228372,0,0,0,0,0
Games,3591900,operating,JPN,,0,3591900,0,0,0,0,0
Fince,,operating,CHN,2001,0,0,0,0,0,0,0
SocialMedia,580000,operating,USA,2013,580000,0,0,0,0,0,0
,696104,operating,USA,,0,696104,0,0,0,0,0
Tracking,100000,closed,CAN,2003,0,0,0,0,0,100000,0
Eyewear,30000,operating,,,30000,0,0,0,0,0,0
HighSchools,,operating,BRA,2011,0,0,0,0,0,0,0
RealEstate,,operating,USA,2014,0,0,0,0,0,0,0
,20000000,operating,USA,,0,20000000,0,0,0,0,0
Software,6700003,operating,USA,1996,0,3300000,0,0,0,0,3400003
Recruiting,40000,operating,USA,2012,40000,0,0,0,0,0,0
Fashion,2100000,operating,ISR,2011,1800000,0,0,0,0,0,0
Security,14200000,operating,USA,2007,0,14200000,0,0,0,0,0
RealEstate,,operating,IND,2009,0,0,0,0,0,0,0
SaaS,77000000,operating,BRA,2011,0,77000000,0,0,0,0,0
Music,125000,operating,USA,2012,0,0,0,0,125000,0,0
Restaurants,40000,operating,BRA,2012,40000,0,0,0,0,0,0
Travel,45943240,operating,FRA,2008,0,30677290,0,0,0,15265950,0
,40000,operating,CHL,2013,40000,0,0,0,0,0,0
Software,1000000,acquired,USA,2002,0,1000000,0,0,0,0,0
Freemium,36000,operating,ZAF,2011,36000,0,0,0,0,0,0
Education,,operating,BRA,,0,0,0,0,0,0,0
,5000000,operating,,,0,5000000,0,0,0,0,0
Software,150000,operating,USA,2011,150000,0,0,0,0,0,0
Systems,1000000,operating,GBR,2013,0,0,0,0,0,0,0
HealthCare,,operating,USA,2006,0,0,0,0,0,0,0
MedicalProfessiols,,operating,,,0,0,0,0,0,0,0
Fince,1096107,operating,DEU,2014,198441,897666,0,0,0,0,0
WebHosting,5400000,operating,IND,1995,0,5400000,0,0,0,0,0
Shopping,138000,closed,CHE,2011,0,0,0,0,0,0,0
Marketplaces,80000,operating,USA,2012,80000,0,0,0,0,0,0
Shipping,3100000,operating,USA,2012,3100000,0,0,0,0,0,0
RentalHousing,23743099,operating,GBR,2013,529172,0,15808674,0,0,0,0
DocumentMagement,20118,operating,LTU,2011,20118,0,0,0,0,0,0
,40000,operating,BRA,,40000,0,0,0,0,0,0
UnifedCommunications,,operating,USA,2001,0,0,0,0,0,0,0
E-Commerce,19299,operating,DNK,2013,19299,0,0,0,0,0,0
,,operating,CHN,2011,0,0,0,0,0,0,0
SocialMedia,84751,operating,KOR,2012,0,84751,0,0,0,0,0
,100000,operating,,,100000,0,0,0,0,0,0
E-Commerce,16500000,operating,USA,2010,1500000,15000000,0,0,0,0,0
Software,5000,operating,USA,2014,0,0,5000,0,0,0,0
E-Commerce,,operating,USA,2012,0,0,0,0,0,0,0
LoyaltyPrograms,,operating,USA,2013,0,0,0,0,0,0,0
,102,operating,KOR,2012,0,0,102,0,0,0,0
,,operating,,,0,0,0,0,0,0,0
Advertising,,operating,SGP,2012,0,0,0,0,0,0,0
SpecialtyFoods,,operating,ITA,,0,0,0,0,0,0,0
E-Commerce,1250000,operating,ARE,2012,1250000,0,0,0,0,0,0
HealthCare,5493124,operating,USA,2008,0,5493124,0,0,0,0,0
Hospitality,,acquired,USA,,0,0,0,0,0,0,0
Automotive,2400000,acquired,USA,1911,0,0,0,0,0,0,0
Marketplaces,2500000,operating,PAK,2013,2500000,0,0,0,0,0,0
Restaurants,12125000,operating,USA,2010,125000,12000000,0,0,0,0,0
InternetofThings,,operating,,,0,0,0,0,0,0,0
Travel,8000000,operating,USA,2012,0,8000000,0,0,0,0,0
Mobile,,operating,CHN,,0,0,0,0,0,0,0
MobileCommerce,1500000,operating,USA,,0,0,0,0,0,0,0
E-Commerce,,operating,BRA,2012,0,0,0,0,0,0,0
CuratedWeb,4018200,operating,TUR,2009,0,4018200,0,0,0,0,0
Biotechnology,107676692,operating,USA,2010,0,107676692,0,0,0,0,0
Software,36000000,operating,CHN,2000,0,0,0,0,0,0,36000000
,5000000,operating,CHN,,0,5000000,0,0,0,0,0
BusinessServices,6700000,operating,USA,1995,0,6700000,0,0,0,0,0
WebCMS,4550000,operating,USA,1997,0,4550000,0,0,0,0,0
Networking,2000,operating,,2013,0,0,2000,0,0,0,0
E-Commerce,23000000,closed,USA,2004,0,23000000,0,0,0,0,0
ProductSearch,400000,operating,USA,2012,400000,0,0,0,0,0,0
CleanTechnology,,operating,USA,2014,0,0,0,0,0,0,0
Biotechnology,55000000,operating,USA,,0,55000000,0,0,0,0,0
Software,40000,operating,CHL,2011,40000,0,0,0,0,0,0
Software,25000000,operating,USA,1976,0,25000000,0,0,0,0,0
E-Commerce,1100000,closed,ISR,2003,0,1100000,0,0,0,0,0
SocialMediaMarketing,650000,closed,USA,,0,0,0,0,0,0,0
Software,20000,operating,USA,2012,20000,0,0,0,0,0,0
,,operating,JPN,2000,0,0,0,0,0,0,0
E-Commerce,1000000,closed,,2010,1000000,0,0,0,0,0,0
E-Commerce,50000,operating,USA,2007,50000,0,0,0,0,0,0
Automotive,685000,operating,USA,2012,685000,0,0,0,0,0,0
,930000,operating,ITA,,930000,0,0,0,0,0,0
E-Commerce,,operating,,2014,0,0,0,0,0,0,0
Medical,79729839,operating,USA,2003,0,79729839,0,0,0,0,0
Software,2134000,operating,USA,2012,1934000,0,0,0,25000,0,0
CuratedWeb,2500000,operating,USA,1995,0,2500000,0,0,0,0,0
Software,510000,operating,CAN,2009,0,510000,0,0,0,0,0
E-Commerce,1500000,operating,,2007,0,0,0,0,0,0,0
Biotechnology,4345800,operating,DEU,,0,4345800,0,0,0,0,0
Advertising,5500000,operating,IND,2000,0,5500000,0,0,0,0,0
Messaging,15873700,operating,USA,2003,0,15873700,0,0,0,0,0
Enterprises,5626680,operating,SWE,,0,5626680,0,0,0,0,0
Alytics,38000000,operating,USA,2004,8000000,30000000,0,0,0,0,0
Fince,36234003,operating,GBR,2009,0,5603526,0,0,0,0,30630477
SmallandMediumBusinesses,15000,operating,,2014,0,0,0,15000,0,0,0
Freelancers,6500000,operating,USA,2009,0,6500000,0,0,0,0,0
Sports,2300000,operating,AUS,2010,300000,2000000,0,0,0,0,0
HealthCare,,operating,USA,2004,0,0,0,0,0,0,0
EnterpriseSoftware,500000,operating,USA,2009,500000,0,0,0,0,0,0
Advertising,16000,operating,USA,2009,0,16000,0,0,0,0,0
HealthCare,3500000,operating,USA,2000,0,3500000,0,0,0,0,0
Music,30300000,closed,USA,1999,0,30300000,0,0,0,0,0
E-Commerce,,operating,DEU,2005,0,0,0,0,0,0,0
CloudComputing,7709323,operating,USA,2005,0,0,0,0,0,0,7709323
StockExchanges,1500000,,,2000,1500000,0,0,0,0,0,0
,10000000,operating,USA,,0,0,0,0,0,10000000,0
Messaging,8000000,operating,USA,,0,8000000,0,0,0,0,0
CommunicationsHardware,16000000,operating,USA,,0,16000000,0,0,0,0,0
Automotive,200000,,USA,,0,0,0,0,0,0,200000
Transportation,17400000,operating,USA,,0,17400000,0,0,0,0,0
HumanResources,60000,operating,DNK,2010,0,0,0,0,0,0,0
Biotechnology,38914126,operating,USA,,0,24414126,0,0,0,0,0
Education,76552021,operating,USA,2007,0,70784107,0,0,0,5767914,0
Mobile,1795083,operating,USA,2009,0,1795083,0,0,0,0,0
Software,50000,operating,USA,2006,0,50000,0,0,0,0,0
SocialMedia,980575,operating,DEU,2011,0,980575,0,0,0,0,0
VentureCapital,,acquired,,2009,0,0,0,0,0,0,0
Android,1500000,operating,USA,2010,1500000,0,0,0,0,0,0
CleanTechnology,13700000,acquired,USA,2007,0,13700000,0,0,0,0,0
Energy,500000,operating,USA,2007,400000,100000,0,0,0,0,0
Photography,250000,acquired,USA,2012,250000,0,0,0,0,0,0
Nonprofits,100000,operating,USA,1987,100000,0,0,0,0,0,0
Mobile,200000,operating,USA,2011,200000,0,0,0,0,0,0
,500000,operating,CAN,,0,500000,0,0,0,0,0
Biotechnology,542421,operating,USA,,0,450000,0,0,0,92421,0
WebHosting,35985886,acquired,USA,2000,0,35985886,0,0,0,0,0
Biotechnology,4099999,operating,USA,2012,2350000,1749999,0,0,0,0,0
Legal,8500000,acquired,USA,2005,0,8500000,0,0,0,0,0
Mobile,12500000,operating,CHE,2000,0,12500000,0,0,0,0,0
WebHosting,222500000,operating,USA,1961,0,0,0,0,0,32500000,190000000
Promotiol,1800000,operating,USA,2012,0,1800000,0,0,0,0,0
EmailMarketing,87168000,acquired,DEU,1999,0,0,0,0,0,0,87168000
HealthCare,310000,closed,USA,2011,0,310000,0,0,0,0,0
Hardware+Software,2248905,operating,USA,2005,0,1955244,0,0,293661,0,0
Advertising,264414,closed,GBR,2008,264414,0,0,0,0,0,0
HealthandWellness,50000,operating,USA,2013,50000,0,0,0,0,0,0
Messaging,1200000,operating,USA,2011,0,0,0,0,0,0,0
Mobile,2000000,operating,CHN,,0,0,0,2000000,0,0,0
Reputation,460000,operating,USA,2011,460000,0,0,0,0,0,0
FoodProcessing,,operating,USA,2012,0,0,0,0,0,0,0
Messaging,,operating,MYS,2010,0,0,0,0,0,0,0
Games,60000,operating,,2007,60000,0,0,0,0,0,0
EnvironmentalInnovation,200000,operating,,,200000,0,0,0,0,0,0
AllMarkets,1028855,operating,GBR,2009,989304,0,0,39551,0,0,0
CleanTechnology,15915862,operating,GBR,,0,11970000,0,3945862,0,0,0
CleanTechnology,13335737,operating,USA,,0,12699998,0,0,0,635739,0
CleanTechnology,4000000,operating,USA,,0,2000000,0,0,0,2000000,0
CleanTechnology,,operating,USA,2009,0,0,0,0,0,0,0
CleanTechnology,50000,closed,,2007,0,0,0,0,0,0,0
Mobile,20850000,operating,USA,2012,0,20850000,0,0,0,0,0
CleanTechnology,50000,operating,USA,2009,0,0,0,0,50000,0,0
,,operating,USA,2011,0,0,0,0,0,0,0
CleanTechnology,6500000,operating,USA,,0,6500000,0,0,0,0,0
EnterpriseSoftware,3329850,operating,,2012,394590,2935260,0,0,0,0,0
Manufacturing,6620650,operating,USA,2011,0,6620650,0,0,0,0,0
B2B,2200000,,USA,2000,0,2200000,0,0,0,0,0
CleanTechnology,71400000,acquired,USA,2008,0,31400000,0,0,0,40000000,0
Mobile,16149048,operating,CAN,2007,0,13925464,0,2223584,0,0,0
Kids,,closed,CAN,2007,0,0,0,0,0,0,0
CleanTechnology,7595758,operating,USA,2001,0,7595758,0,0,0,0,0
,88049,operating,COL,2013,88049,0,0,0,0,0,0
RenewableEnergies,100000,operating,USA,2008,100000,0,0,0,0,0,0
Software,500000,operating,USA,2010,0,500000,0,0,0,0,0
Manufacturing,14250000,operating,ITA,,0,14250000,0,0,0,0,0
EnterpriseSoftware,27394996,operating,USA,2006,0,27394996,0,0,0,0,0
,,operating,PRT,2012,0,0,0,0,0,0,0
SmartGrid,500000,closed,,2012,500000,0,0,0,0,0,0
CuratedWeb,295000,operating,USA,2011,0,295000,0,0,0,0,0
,2712525,operating,USA,,0,0,0,0,0,2712525,0
Software,800000,operating,USA,,800000,0,0,0,0,0,0
Software,909000,operating,DEU,,909000,0,0,0,0,0,0
,40859,operating,,2013,40859,0,0,0,0,0,0
Hardware+Software,1600000,operating,IND,2009,1600000,0,0,0,0,0,0
CleanTechnology,1346100,operating,USA,,0,0,0,0,0,1346100,0
,,operating,USA,2012,0,0,0,0,0,0,0
,6890000,operating,USA,,0,6890000,0,0,0,0,0
Manufacturing,7000000,,USA,2008,0,7000000,0,0,0,0,0
CleanTechnology,1725000,operating,USA,2008,0,1725000,0,0,0,0,0
CleanTechnology,805833,operating,GBR,,0,0,0,805833,0,0,0
Logistics,16500000,operating,IND,2013,0,16500000,0,0,0,0,0
Sustaibility,391655,operating,GBR,,0,391655,0,0,0,0,0
E-Commerce,2700000,operating,USA,2009,0,2700000,0,0,0,0,0
SmallandMediumBusinesses,58510,closed,GBR,2008,58510,0,0,0,0,0,0
Organic,10700000,operating,USA,2008,0,8700000,0,0,0,0,0
CleanTechnology,58750000,operating,USA,2011,0,58750000,0,0,0,0,0
,125000,operating,,,125000,0,0,0,0,0,0
Software,3272000,operating,USA,2010,250000,2350000,0,0,0,0,0
Manufacturing,9466686,operating,GBR,2011,0,7727782,0,1738904,0,0,0
,44843,,BRA,2013,44843,0,0,0,0,0,0
Manufacturing,,operating,GBR,2007,0,0,0,0,0,0,0
CleanTechnology,3579182,operating,USA,2000,0,3579182,0,0,0,0,0
Software,2300000,operating,USA,2011,0,0,0,0,0,0,0
CleanTechnology,653200,operating,ITA,2009,0,653200,0,0,0,0,0
CleanTechnology,29000000,operating,USA,1989,0,29000000,0,0,0,0,0
Software,550000,operating,USA,2009,0,0,0,0,0,550000,0
Hospitality,,operating,ITA,,0,0,0,0,0,0,0
,17000,operating,,,17000,0,0,0,0,0,0
CleanTechnology,5828444,operating,USA,2010,0,1500000,0,0,0,4328444,0
CleanTechnology,31572684,operating,USA,2008,0,22822684,0,0,7750000,0,1000000
SocialBusiness,21471,operating,DEU,2009,21471,0,0,0,0,0,0
CleanTechnology,15021489,operating,USA,1996,0,11021489,0,0,0,4000000,0
CleanTechnology,10000000,operating,,,0,10000000,0,0,0,0,0
,20000,operating,,,20000,0,0,0,0,0,0
,540000,operating,USA,2012,540000,0,0,0,0,0,0
CleanTechnology,40000,operating,CHL,2012,40000,0,0,0,0,0,0
WaterPurification,1345291,operating,BRA,2011,0,1345291,0,0,0,0,0
CleanTechnology,10089048,,USA,,0,10089048,0,0,0,0,0
CleanTechnology,130300000,closed,USA,1999,0,30500000,0,0,0,0,0
EnvironmentalInnovation,837000,operating,USA,2010,0,0,0,837000,0,0,0
,4000000,operating,USA,1992,0,4000000,0,0,0,0,0
CuratedWeb,15071350,operating,GBR,2003,1602870,9826291,0,0,0,0,0
SupplyChainMagement,3900000,operating,USA,2007,0,0,0,0,0,2500000,0
CleanTechnology,14000000,operating,USA,2007,0,14000000,0,0,0,0,0
EnergyEfficiency,2805000,operating,USA,2012,2200000,0,0,0,0,0,0
,20000,operating,USA,,20000,0,0,0,0,0,0
RenewableEnergies,5959015,operating,GBR,,0,5959015,0,0,0,0,0
,579809,operating,USA,2009,0,0,0,0,0,579809,0
CleanTechnology,,operating,IND,2010,0,0,0,0,0,0,0
Hardware+Software,207742,operating,DEU,2013,0,0,0,0,0,0,0
,,operating,,,0,0,0,0,0,0,0
GoogleApps,590000,operating,CAN,2008,590000,0,0,0,0,0,0
EnterpriseSoftware,1898403,,,2010,0,0,0,0,0,0,0
Software,27000000,operating,USA,,0,27000000,0,0,0,0,0
Cars,,operating,USA,,0,0,0,0,0,0,0
Software,,operating,USA,2004,0,0,0,0,0,0,0
,937054,operating,KOR,2011,881647,0,0,0,0,0,0
HeavyIndustry,45299500,operating,USA,1999,0,38000000,0,0,0,7299500,0
EnergyEfficiency,3300000,operating,USA,2011,800000,2500000,0,0,0,0,0
Alytics,1550000,closed,ESP,,0,1550000,0,0,0,0,0
E-Commerce,6500000,operating,USA,2009,0,6500000,0,0,0,0,0
Celebrity,565000,operating,USA,2011,565000,0,0,0,0,0,0
Education,,operating,USA,2003,0,0,0,0,0,0,0
Fashion,2850000,operating,IND,2011,2000000,850000,0,0,0,0,0
FincialServices,10000000,operating,CHN,2006,0,10000000,0,0,0,0,0
ChiInternet,3200000,operating,,1990,0,3200000,0,0,0,0,0
SemanticWeb,,operating,USA,2009,0,0,0,0,0,0,0
Manufacturing,14557833,operating,CHN,,0,14557833,0,0,0,0,0
Education,15690376,operating,CHN,,0,0,0,15690376,0,0,0
E-Commerce,130390,operating,ESP,,130390,0,0,0,0,0,0
Education,800000,operating,USA,2009,800000,0,0,0,0,0,0
Education,6000000,operating,USA,2013,0,6000000,0,0,0,0,0
K-12Education,16800,operating,,,16800,0,0,0,0,0,0
Biotechnology,24000000,closed,HKG,,0,24000000,0,0,0,0,0
Electronics,100000,operating,GBR,,100000,0,0,0,0,0,0
,,operating,DEU,2013,0,0,0,0,0,0,0
Advertising,950000,operating,USA,2011,700000,0,0,0,0,0,0
SocialBuying,,operating,DEU,2006,0,0,0,0,0,0,0
,11084050,operating,USA,2007,0,10484050,0,0,0,600000,0
Mobile,700000,operating,USA,2007,0,700000,0,0,0,0,0
Biotechnology,1000000,operating,USA,2007,1000000,0,0,0,0,0,0
Software,1100000,operating,ISR,,0,1100000,0,0,0,0,0
WebDevelopment,329250,closed,IRL,2007,329250,0,0,0,0,0,0
Consulting,1890000,operating,GBR,2001,0,1890000,0,0,0,0,0
SocialMedia,51756,operating,ESP,2012,51756,0,0,0,0,0,0
Biotechnology,91670000,operating,USA,2008,0,83670000,0,0,0,8000000,0
FincialServices,,,,2009,0,0,0,0,0,0,0
Education,300000,operating,USA,2013,170000,0,0,0,0,0,100000
CleanTechnology,200000000,operating,USA,1987,0,0,0,0,0,0,200000000
E-Commerce,,operating,EGY,2010,0,0,0,0,0,0,0
Education,,operating,USA,,0,0,0,0,0,0,0
ContentCreators,70000,operating,SVN,2013,35000,0,0,35000,0,0,0
Fince,14000000,,USA,1995,0,14000000,0,0,0,0,0
Music,100000,operating,,,0,0,0,0,0,100000,0
Biotechnology,36909736,operating,USA,2009,0,26909736,0,0,0,10000000,0
EnterpriseSoftware,8000000,operating,USA,2012,0,8000000,0,0,0,0,0
Content,74000000,acquired,USA,2006,0,74000000,0,0,0,0,0
WebHosting,14008001,operating,USA,2009,0,14008001,0,0,0,0,0
,50000,operating,USA,,0,0,0,0,0,50000,0
Marketplaces,6500000,closed,USA,2005,0,5000000,0,0,0,0,0
Biotechnology,4845795,operating,USA,,0,4845795,0,0,0,0,0
Software,25000,operating,USA,2013,0,0,0,0,0,25000,0
Alytics,12700000,acquired,USA,2010,1700000,11000000,0,0,0,0,0
Search,1500000,operating,USA,2013,0,1500000,0,0,0,0,0
Hardware+Software,11780000,operating,SWE,2004,0,11780000,0,0,0,0,0
VoIP,16500807,operating,USA,2002,0,9500000,0,0,0,7000807,0
Software,19445695,operating,USA,1995,0,9845695,0,0,0,9600000,0
E-Commerce,,operating,USA,2013,0,0,0,0,0,0,0
Recruiting,200000,operating,UKR,2008,0,200000,0,0,0,0,0
Education,38598,operating,BGR,2013,38598,0,0,0,0,0,0
,,operating,USA,2012,0,0,0,0,0,0,0
Biotechnology,10000000,operating,USA,2013,0,10000000,0,0,0,0,0
SaaS,850000,operating,AUS,2011,50000,600000,0,0,0,0,0
WebDevelopment,100000,operating,EST,2007,0,0,0,0,0,0,0
,26267385,operating,USA,,0,26267385,0,0,0,0,0
,,operating,USA,2008,0,0,0,0,0,0,0
Biotechnology,18000000,operating,USA,2009,0,18000000,0,0,0,0,0
Photography,6061005,operating,GBR,,0,6061005,0,0,0,0,0
Hardware+Software,587000,closed,GBR,2005,0,587000,0,0,0,0,0
CleanTechnology,1454259,operating,USA,2013,90000,1364259,0,0,0,0,0
Biotechnology,80128582,operating,USA,2005,0,30128447,0,0,0,0,50000135
,,operating,,,0,0,0,0,0,0,0
Hospitality,102000000,operating,EGY,1996,0,0,0,0,0,0,102000000
Biotechnology,43000000,operating,USA,2013,0,43000000,0,0,0,0,0
Alytics,6000000,operating,GBR,2009,1600000,4400000,0,0,0,0,0
FileSharing,2500000,operating,HKG,2003,0,2500000,0,0,0,0,0
SocialMedia,,operating,DEU,2014,0,0,0,0,0,0,0
Software,600000,closed,GBR,,600000,0,0,0,0,0,0
CuratedWeb,,closed,USA,,0,0,0,0,0,0,0
CuratedWeb,165000,operating,,2013,0,165000,0,0,0,0,0
Software,2500000,operating,FRA,2009,2500000,0,0,0,0,0,0
Education,50000,operating,,2014,50000,0,0,0,0,0,0
CuratedWeb,325000,operating,USA,,0,0,0,0,0,325000,0
Software,200000,operating,,2013,200000,0,0,0,0,0,0
Technology,87500000,operating,USA,2008,0,87500000,0,0,0,0,0
Advertising,73500100,operating,USA,2007,0,54000000,0,7000100,0,0,12500000
Education,260000,operating,USA,2012,260000,0,0,0,0,0,0
Software,5067737,closed,USA,1988,0,5067737,0,0,0,0,0
Hardware+Software,100000,operating,USA,2010,0,100000,0,0,0,0,0
Biotechnology,2706000,operating,USA,2005,0,2506000,0,0,0,200000,0
,,operating,,2013,0,0,0,0,0,0,0
Education,,operating,USA,2013,0,0,0,0,0,0,0
Software,2000000,operating,IND,2010,0,2000000,0,0,0,0,0
Wireless,,operating,USA,2010,0,0,0,0,0,0,0
K-12Education,,operating,CAN,2010,0,0,0,0,0,0,0
Education,964000,closed,IND,2001,0,964000,0,0,0,0,0
Kids,50000,operating,IND,2013,50000,0,0,0,0,0,0
MarketResearch,2860000,operating,USA,2011,400000,2460000,0,0,0,0,0
Education,618000,operating,USA,2012,168000,0,0,0,0,0,0
Marketplaces,51475,operating,ARG,2011,51475,0,0,0,0,0,0
Education,18000,operating,USA,2013,18000,0,0,0,0,0,0
Nonprofits,19600000,operating,USA,1958,0,5600000,0,0,0,0,0
Education,8100000,operating,USA,2010,2100000,6000000,0,0,0,0,0
Technology,50000,operating,USA,2013,50000,0,0,0,0,0,0
Education,14300000,operating,USA,,0,0,0,0,0,0,0
Publishing,30260000,operating,USA,2006,0,30260000,0,0,0,0,0
,,acquired,USA,1984,0,0,0,0,0,0,0
Nonprofits,9000000,operating,USA,2012,0,0,0,0,0,0,0
Education,120000,operating,USA,2013,120000,0,0,0,0,0,0
HealthandWellness,685000,operating,USA,2011,685000,0,0,0,0,0,0
Education,600000,operating,USA,2012,600000,0,0,0,0,0,0
iPad,2200000,operating,USA,,0,2200000,0,0,0,0,0
PrivateSocialNetworking,1400000,operating,USA,,0,1400000,0,0,0,0,0
Education,1700000,acquired,USA,,0,1300000,0,0,0,0,0
Education,500000,operating,IND,2011,500000,0,0,0,0,0,0
Mobile,128660,operating,POL,,128660,0,0,0,0,0,0
Education,59730,operating,JPN,2012,59730,0,0,0,0,0,0
Biotechnology,1352713,operating,USA,2011,0,1052713,0,0,0,300000,0
Education,530000,operating,USA,2012,530000,0,0,0,0,0,0
SocialNetworkMedia,28000,operating,,2011,28000,0,0,0,0,0,0
Android,694280,operating,FRA,2010,417780,0,0,0,0,0,0
CuratedWeb,,operating,USA,2009,0,0,0,0,0,0,0
InvestmentMagement,300000,operating,,1986,300000,0,0,0,0,0,0
CorporateTraining,1500000,operating,IND,2007,0,1500000,0,0,0,0,0
Education,40000,operating,DZA,2012,40000,0,0,0,0,0,0
Education,40000,operating,CHL,2012,40000,0,0,0,0,0,0
SocialNetworkMedia,688566,operating,ROM,2013,0,688566,0,0,0,0,0
Education,1000000,acquired,ISR,1990,0,0,0,0,0,0,0
Education,1000000,,RUS,2013,1000000,0,0,0,0,0,0
EnterpriseSoftware,290000,operating,USA,2012,290000,0,0,0,0,0,0
Education,250000,operating,POL,2010,250000,0,0,0,0,0,0
Education,400000,operating,IND,,0,0,0,0,0,0,0
,,operating,USA,2010,0,0,0,0,0,0,0
Education,15000,operating,USA,2012,15000,0,0,0,0,0,0
Education,365000,operating,USA,1988,0,365000,0,0,0,0,0
Advertising,1040000,operating,USA,,0,1040000,0,0,0,0,0
Education,20000,operating,USA,2014,20000,0,0,0,0,0,0
Education,40000,operating,,2012,40000,0,0,0,0,0,0
,250000,operating,,,250000,0,0,0,0,0,0
Software,2630000,operating,FRA,,0,2630000,0,0,0,0,0
Agriculture,970000,operating,USA,,970000,0,0,0,0,0,0
E-Commerce,325398,operating,GBR,2013,181000,0,144398,0,0,0,0
SocialMedia,200000,closed,,2010,200000,0,0,0,0,0,0
Photography,225000,operating,USA,,225000,0,0,0,0,0,0
Apps,4300000,operating,GBR,,0,0,0,0,0,0,4300000
SocialNetworkMedia,2097100,closed,USA,,0,2097100,0,0,0,0,0
Games,1700000,operating,DEU,2011,1700000,0,0,0,0,0,0
,,operating,USA,,0,0,0,0,0,0,0
CuratedWeb,350000,operating,USA,2009,350000,0,0,0,0,0,0
Security,24000000,acquired,MYS,1998,0,24000000,0,0,0,0,0
InternetofThings,400000,operating,USA,2013,0,0,0,0,400000,0,0
Sports,50000,operating,USA,2007,50000,0,0,0,0,0,0
CuratedWeb,20400000,operating,USA,,0,20400000,0,0,0,0,0
,6192900,closed,,,0,6192900,0,0,0,0,0
MobilePayments,614900,operating,SWE,2012,614900,0,0,0,0,0,0
Biotechnology,721566,operating,USA,2009,0,721566,0,0,0,0,0
,250000,operating,,,250000,0,0,0,0,0,0
Advertising,4000000,operating,AUS,2008,0,4000000,0,0,0,0,0
Biotechnology,45000000,operating,USA,2012,0,45000000,0,0,0,0,0
EnterpriseSoftware,1560995,operating,DEU,2013,1560995,0,0,0,0,0,0
Biotechnology,3164325,operating,USA,2003,0,0,0,0,0,3164325,0
BigData,600000,operating,USA,2012,600000,0,0,0,0,0,0
CleanTechnology,150000,,USA,2012,0,150000,0,0,0,0,0
WebHosting,141410,closed,GBR,2010,141410,0,0,0,0,0,0
CleanTechnology,4125000,operating,USA,2006,0,4125000,0,0,0,0,0
Advertising,6000000,acquired,USA,2002,0,6000000,0,0,0,0,0
Hardware+Software,7500000,operating,USA,,0,7500000,0,0,0,0,0
RealEstate,5332740,operating,FRA,2007,0,5332740,0,0,0,0,0
Logistics,,operating,DNK,2011,0,0,0,0,0,0,0
,,operating,USA,2012,0,0,0,0,0,0,0
Biotechnology,7590940,operating,,1998,0,0,0,0,0,0,0
Software,602000,operating,SWE,,0,602000,0,0,0,0,0
BusinessIntelligence,,operating,USA,2012,0,0,0,0,0,0,0
,1000000,operating,,2009,1000000,0,0,0,0,0,0
,1200000,operating,IDN,,0,1200000,0,0,0,0,0
CleanTechnology,40000,operating,CHL,2010,40000,0,0,0,0,0,0
Entertainment,200000,operating,USA,2011,200000,0,0,0,0,0,0
EnterpriseSoftware,649000,operating,GBR,2004,0,649000,0,0,0,0,0
,,operating,JPN,2000,0,0,0,0,0,0,0
FlashStorage,26000002,operating,USA,2002,0,0,0,0,0,0,26000002
,4500000,operating,ISR,,0,4500000,0,0,0,0,0
Software,17500000,operating,USA,,0,17500000,0,0,0,0,0
E-Commerce,,operating,USA,2014,0,0,0,0,0,0,0
CuratedWeb,295000,operating,USA,2011,250000,0,0,0,0,0,0
Automotive,4002098,operating,DEU,2010,0,4002098,0,0,0,0,0
,200000,operating,USA,,0,0,0,0,0,200000,0
HealthCare,24300000,operating,DNK,1995,0,24300000,0,0,0,0,0
Games,900000,operating,USA,,0,500000,0,0,0,400000,0
